danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.76,0.595,-6.366,0.0391,0.00544,0.0,0.241,0.361,131.497,03tqyYWC9Um2ZqU0ZN849H,263773,3
0.757,0.848,-4.234,0.335,0.0481,0.0,0.121,0.686,139.995,2rzBvHM9h36Tpdj7Jdajka,212640,8
0.758,0.646,-4.701,0.112,0.128,0.0,0.0778,0.589,155.955,4PzovBqgnSHKd8opsP7IVM,197171,1
0.763,0.726,-6.405,0.282,0.259,0.0,0.0976,0.349,139.059,7floNISpH8VF4z4459Qo18,126346,8
0.705,0.609,-5.728,0.0729,0.694,0.0,0.234,0.718,140.058,4uhvMW7ly7tJil31YYscAN,199993,6
0.553,0.652,-6.685,0.206,0.0897,0.0,0.111,0.551,94.505,6YbhspuOar1D9WSSnfe7ds,207347,8
0.925,0.744,-5.79,0.367,0.0644,0.0,0.0888,0.656,93.02,0jSMveIWvnhDIvzqN74Uc7,243227,8
0.549,0.791,-3.535,0.133,0.0104,0.0,0.444,0.292,150.093,6u5M4jPpYkoRV4vVHDQvkd,227293,0
0.704,0.777,-5.729,0.195,0.0358,0.0,0.151,0.392,111.921,60xaS8mYBKUW4VQQ666N0T,141542,8
0.787,0.73,-6.788,0.35,0.0276,0.00157,0.0828,0.739,159.825,3ZAMtgYJFoHwJjFkhkXqKr,220293,8
0.859,0.627,-7.91,0.13,0.0388,0.000202,0.101,0.594,142.062,5uqphUYsR45kPYplrYSAQh,260453,1
0.85,0.405,-7.509,0.225,0.119,0.000118,0.0707,0.344,139.976,5tFep7dXGd7vEJ668wTPux,190312,8
0.804,0.886,-2.512,0.04,0.0837,0.0,0.266,0.789,144.946,0pSBuHjILhNEo55xK1zrRt,238587,1
0.546,0.651,-7.601,0.3,0.000739,0.0,0.235,0.646,77.878,6fAyRZ0GHuuvSOEIOwi58N,212653,8
0.762,0.576,-4.951,0.0829,0.0556,0.0,0.0866,0.316,142.096,1KhljCoJ2TgDEldnnfTHHc,221178,3
0.816,0.245,-15.617,0.414,0.616,0.000813,0.127,0.187,140.04,7EoSDrwBPUBeBEORrpvgko,138936,8
0.795,0.523,-7.165,0.0423,0.061,0.0,0.0914,0.855,133.024,5dNfHmqgr128gMY2tc5CeJ,186067,1
0.646,0.696,-5.572,0.342,0.0192,0.0,0.0762,0.625,92.88,5XJJdNPkwmbUwE79gv0NxK,207401,8
0.472,0.457,-7.23,0.336,0.13,0.0,0.0975,0.643,165.969,7wwifjNAb172PtDpKK3CoR,234215,8
0.732,0.69,-4.992,0.134,0.291,0.0,0.116,0.758,143.072,4jTiyLlOJVJj3mCr7yfPQD,206307,1
0.689,0.564,-6.226,0.136,0.187,0.0,0.0721,0.123,185.023,1Ser4X0TKttOvo8bgdytTP,212947,0
0.681,0.701,-6.336,0.0767,0.106,0.0,0.208,0.398,139.952,4IWGnyOHDrVZEtPWfs4s7q,175203,3
0.531,0.544,-8.615,0.462,0.308,1.89e-06,0.0835,0.398,131.921,3ZLyt2ndLFBh148XRYjYYZ,203794,8
0.722,0.331,-7.789,0.0726,0.337,0.282,0.146,0.102,143.961,7EiZI6JVHllARrX9PUvAdX,313547,3
0.603,0.725,-3.054,0.0393,0.174,0.0,0.0786,0.304,122.803,3NJG6vMH1ZsectZkocMEm0,239853,3
0.714,0.563,-7.574,0.0723,0.0266,0.0,0.0776,0.31,100.091,1ID1QFSNNxi0hiZCNcwjUC,241853,3
0.723,0.777,-3.503,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,32lm3769IRfcnrQV11LO4E,243413,1
0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773,8
0.886,0.427,-10.028,0.145,0.0312,0.00099,0.0906,0.23,108.034,5uDASfU19gDxSjW8cnCaBp,177184,6
0.846,0.53,-8.062,0.0578,0.0287,0.0,0.123,0.461,97.524,1L0rvFTlpoR8rHxdR4lTSN,208160,6
0.734,0.892,-1.856,0.125,0.0648,0.0,0.58,0.605,138.031,4GVD0FIBo08FSAy3tbIY7g,303533,5
0.635,0.847,-3.152,0.447,0.533,0.0,0.154,0.568,166.072,7JYsArznYOjX2jsrT3UEnL,234650,8
0.764,0.475,-12.618,0.114,0.345,0.0,0.14,0.34,129.974,40yJGQyEaBbIkXpwMFkXip,243270,6
0.559,0.716,-3.964,0.39,0.737,0.0,0.252,0.504,176.618,4jtyUzZm9WLc2AdaJ1dso7,275227,8
0.959,0.598,-5.534,0.0713,0.0358,0.0,0.358,0.408,127.029,33JcUj9qQDayKswunZP9ar,213000,1
0.78,0.575,-5.628,0.139,0.106,0.0,0.129,0.273,81.502,0SGkqnVQo9KPytSri1H6cF,222360,3
0.771,0.647,-5.127,0.376,0.294,0.0,0.37,0.678,155.914,0jx8zY5JQsS4YEQcfkoc5C,206240,8
0.674,0.608,-6.628,0.0334,0.0119,0.0,0.103,0.464,124.952,7tGlzXJv6GD5e5qlu5YmDg,253440,3
0.798,0.568,-9.072,0.135,0.0213,0.0,0.0586,0.45,148.88,6JjEVlMkfHWMeYavkEYzNO,193911,6
0.435,0.837,-8.126,0.449,0.00676,0.0,0.117,0.778,124.913,5AyL2kgLtTWEu3qO3B9SqK,216893,8
0.712,0.562,-6.008,0.129,0.125,0.0,0.136,0.142,140.0,6jmTHeoWvBaSrwWttr8Xvu,236480,3
0.762,0.666,-6.055,0.0916,0.00427,0.0,0.127,0.278,118.97,10I3CmmwT0BkOVhduDy53o,232093,3
0.726,0.769,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985,3B54sVLJ402zGa6Xm4YGNe,233902,1
0.839,0.81,-5.274,0.0568,0.501,0.0,0.117,0.814,129.014,1f5cbQtDrykjarZVrShaDI,209269,1
